Match ID,TeamA_id,TeamB_id,Score_A,Score_B,Wining_Team
646,5,7,282,286,7
647,4,6,382,233,4
648,3,10,399,90,3
649,2,8,156,160,8
650,5,4,270,271,4
651,3,9,388,383,3
652,10,6,142,229,10
653,1,2,229,129,1
654,8,7,241,242,7
655,6,5,205,204,5
656,4,9,357,167,4
657,1,8,357,55,1
658,10,7,181,179,7
659,9,5,401,200,5
660,3,2,286,253,3
661,1,4,326,83,1
662,8,6,279,282,6
663,3,7,293,291,3
664,2,10,179,339,2
665,9,8,171,172,9
666,7,4,244,247,4
667,3,6,306,307,3
668,2,5,244,337,2
669,1,10,410,250,1
670,1,9,397,327,1
671,3,4,215,212,3
672,1,3,240,241,3
673,2,9,282,283,9
674,5,10,286,205,5
675,7,6,156,158,6
676,4,8,428,326,4
677,3,1,199,201,1
678,9,10,322,223,9
679,2,6,364,227,2
680,8,5,344,345,5
681,7,1,272,273,1
682,4,3,311,177,4
683,6,9,245,248,9
684,5,1,191,192,1
685,7,2,284,215,7
686,8,3,209,215,3
687,10,4,245,207,10
688,9,7,288,139,9
689,6,1,256,261,1
690,3,5,367,305,3
691,10,8,262,263,8
692,4,2,399,170,4
693,9,1,273,274,1
694,5,7,282,286,7
695,4,6,382,233,4
696,3,10,399,90,3
697,2,8,156,160,8
698,5,4,270,271,4
699,3,9,388,383,3
700,10,6,142,229,10
701,1,2,229,129,1
702,8,7,241,242,7
703,6,5,205,204,5
704,4,9,357,167,4
705,1,8,357,55,1
706,10,7,181,179,7
707,9,5,401,200,5
708,3,2,286,253,3
709,1,4,326,83,1
710,8,6,279,282,6
711,3,7,293,291,3
712,2,10,179,339,2
713,9,8,171,172,9
714,7,4,244,247,4
715,3,6,306,307,3
716,2,5,244,337,2
717,1,10,410,250,1
718,1,9,397,327,1
719,3,4,215,212,3
720,1,3,240,241,3
721,2,9,282,283,9
722,5,10,286,205,5
723,7,6,156,158,6
724,4,8,428,326,4
725,3,1,199,201,1
726,9,10,322,223,9
727,2,6,364,227,2
728,8,5,344,345,5
729,7,1,272,273,1
730,4,3,311,177,4
731,6,9,245,248,9
732,5,1,191,192,1
733,7,2,284,215,7
734,8,3,209,215,3
735,10,4,245,207,10
736,9,7,288,139,9
737,6,1,256,261,1
738,3,5,367,305,3
739,10,8,262,263,8
740,4,2,399,170,4
741,9,1,273,274,1
742,5,7,282,286,7
743,4,6,382,233,4
744,3,10,399,90,3
745,2,8,156,160,8
746,5,4,270,271,4
747,3,9,388,383,3
748,10,6,142,229,10
749,1,2,229,129,1
750,8,7,241,242,7
751,6,5,205,204,5
752,4,9,357,167,4
753,1,8,357,55,1
754,10,7,181,179,7
755,9,5,401,200,5
756,3,2,286,253,3
757,1,4,326,83,1
758,8,6,279,282,6
759,3,7,293,291,3
760,2,10,179,339,2
761,9,8,171,172,9
762,7,4,244,247,4
763,3,6,306,307,3
764,2,5,244,337,2
765,1,10,410,250,1
766,1,9,397,327,1
767,3,4,215,212,3
768,1,3,240,241,3
769,2,9,282,283,9
770,5,10,286,205,5
771,7,6,156,158,6
772,4,8,428,326,4
773,3,1,199,201,1
774,9,10,322,223,9
775,2,6,364,227,2
776,8,5,344,345,5
777,7,1,272,273,1
778,4,3,311,177,4
779,6,9,245,248,9
780,5,1,191,192,1
781,7,2,284,215,7
782,8,3,209,215,3
783,10,4,245,207,10
784,9,7,288,139,9
785,6,1,256,261,1
786,3,5,367,305,3
787,10,8,262,263,8
788,4,2,399,170,4
789,9,1,273,274,1
790,5,7,282,286,7
791,4,6,382,233,4
792,3,10,399,90,3
793,2,8,156,160,8
794,5,4,270,271,4
795,3,9,388,383,3
796,10,6,142,229,10
797,1,2,229,129,1
798,8,7,241,242,7
799,6,5,205,204,5
800,4,9,357,167,4
801,1,8,357,55,1
802,10,7,181,179,7
803,9,5,401,200,5
804,3,2,286,253,3
805,1,4,326,83,1
806,8,6,279,282,6
807,3,7,293,291,3
808,2,10,179,339,2
809,9,8,171,172,9
810,7,4,244,247,4
811,3,6,306,307,3
812,2,5,244,337,2
813,1,10,410,250,1
814,1,9,397,327,1
815,3,4,215,212,3
816,1,3,240,241,3
817,2,9,282,283,9
818,5,10,286,205,5
819,7,6,156,158,6
820,4,8,428,326,4
821,3,1,199,201,1
822,9,10,322,223,9
823,2,6,364,227,2
824,8,5,344,345,5
825,7,1,272,273,1
826,4,3,311,177,4
827,6,9,245,248,9
828,5,1,191,192,1
829,7,2,284,215,7
830,8,3,209,215,3
831,10,4,245,207,10
832,9,7,288,139,9
833,6,1,256,261,1
834,3,5,367,305,3
835,10,8,262,263,8
836,4,2,399,170,4
837,9,1,273,274,1
838,5,7,282,286,7
839,4,6,382,233,4
840,3,10,399,90,3
841,2,8,156,160,8
842,5,4,270,271,4
843,3,9,388,383,3
844,10,6,142,229,10
845,1,2,229,129,1
846,8,7,241,242,7
847,6,5,205,204,5
848,4,9,357,167,4
849,1,8,357,55,1
850,10,7,181,179,7
851,9,5,401,200,5
852,3,2,286,253,3
853,1,4,326,83,1
854,8,6,279,282,6
855,3,7,293,291,3
856,2,10,179,339,2
857,9,8,171,172,9
858,7,4,244,247,4
859,3,6,306,307,3
860,2,5,244,337,2
861,1,10,410,250,1
862,1,9,397,327,1
863,3,4,215,212,3
864,1,3,240,241,3
865,2,9,282,283,9
866,5,10,286,205,5
867,7,6,156,158,6
868,4,8,428,326,4
869,3,1,199,201,1
870,9,10,322,223,9
871,2,6,364,227,2
872,8,5,344,345,5
873,7,1,272,273,1
874,4,3,311,177,4
875,6,9,245,248,9
876,5,1,191,192,1
877,7,2,284,215,7
878,8,3,209,215,3
879,10,4,245,207,10
880,9,7,288,139,9
881,6,1,256,261,1
882,3,5,367,305,3
883,10,8,262,263,8
884,4,2,399,170,4
885,9,1,273,274,1
886,5,7,282,286,7
887,4,6,382,233,4
888,3,10,399,90,3
889,2,8,156,160,8
890,5,4,270,271,4
891,3,9,388,383,3
892,10,6,142,229,10
893,1,2,229,129,1
894,8,7,241,242,7
895,6,5,205,204,5
896,4,9,357,167,4
897,1,8,357,55,1
898,10,7,181,179,7
899,9,5,401,200,5
900,3,2,286,253,3
901,1,4,326,83,1
902,8,6,279,282,6
903,3,7,293,291,3
904,2,10,179,339,2
905,9,8,171,172,9
906,7,4,244,247,4
907,3,6,306,307,3
908,2,5,244,337,2
909,1,10,410,250,1
910,1,9,397,327,1
911,3,4,215,212,3
912,1,3,240,241,3
913,2,9,282,283,9
914,5,10,286,205,5
915,7,6,156,158,6
916,4,8,428,326,4
917,3,1,199,201,1
918,9,10,322,223,9
919,2,6,364,227,2
920,8,5,344,345,5
921,7,1,272,273,1
922,4,3,311,177,4
923,6,9,245,248,9
924,5,1,191,192,1
925,7,2,284,215,7
926,8,3,209,215,3
927,10,4,245,207,10
928,9,7,288,139,9
929,6,1,256,261,1
930,3,5,367,305,3
931,10,8,262,263,8
932,4,2,399,170,4
933,9,1,273,274,1
934,5,7,282,286,7
935,4,6,382,233,4
936,3,10,399,90,3
937,2,8,156,160,8
938,5,4,270,271,4
939,3,9,388,383,3
940,10,6,142,229,10
941,1,2,229,129,1
942,8,7,241,242,7
943,6,5,205,204,5
944,4,9,357,167,4
945,1,8,357,55,1
946,10,7,181,179,7
947,9,5,401,200,5
948,3,2,286,253,3
949,1,4,326,83,1
950,8,6,279,282,6
951,3,7,293,291,3
952,2,10,179,339,2
953,9,8,171,172,9
954,7,4,244,247,4
955,3,6,306,307,3
956,2,5,244,337,2
957,1,10,410,250,1
958,1,9,397,327,1
959,3,4,215,212,3
960,1,3,240,241,3
961,2,9,282,283,9
962,5,10,286,205,5
963,7,6,156,158,6
964,4,8,428,326,4
965,3,1,199,201,1
966,9,10,322,223,9
967,2,6,364,227,2
968,8,5,344,345,5
969,7,1,272,273,1
970,4,3,311,177,4
971,6,9,245,248,9
972,5,1,191,192,1
973,7,2,284,215,7
974,8,3,209,215,3
975,10,4,245,207,10
976,9,7,288,139,9
977,6,1,256,261,1
978,3,5,367,305,3
979,10,8,262,263,8
980,4,2,399,170,4
981,9,1,273,274,1
982,5,7,282,286,7
983,4,6,382,233,4
984,3,10,399,90,3
985,2,8,156,160,8
986,5,4,270,271,4
987,3,9,388,383,3
988,10,6,142,229,10
989,1,2,229,129,1
990,8,7,241,242,7
991,6,5,205,204,5
992,4,9,357,167,4
993,1,8,357,55,1
994,10,7,181,179,7
995,9,5,401,200,5
996,3,2,286,253,3
997,1,4,326,83,1
998,8,6,279,282,6
999,3,7,293,291,3
1000,2,10,179,339,2
1001,9,8,171,172,9
1002,7,4,244,247,4
1003,3,6,306,307,3
1004,2,5,244,337,2
1005,1,10,410,250,1
1006,1,9,397,327,1
1007,3,4,215,212,3
1008,1,3,240,241,3
1009,2,9,282,283,9
1010,5,10,286,205,5
1011,7,6,156,158,6
1012,4,8,428,326,4
1013,3,1,199,201,1
1014,9,10,322,223,9
1015,2,6,364,227,2
1016,8,5,344,345,5
1017,7,1,272,273,1
1018,4,3,311,177,4
1019,6,9,245,248,9
1020,5,1,191,192,1
1021,7,2,284,215,7
1022,8,3,209,215,3
1023,10,4,245,207,10
1024,9,7,288,139,9
1025,6,1,256,261,1
1026,3,5,367,305,3
1027,10,8,262,263,8
1028,4,2,399,170,4
1029,9,1,273,274,1
1030,5,7,282,286,7
1031,4,6,382,233,4
1032,3,10,399,90,3
1033,2,8,156,160,8
1034,5,4,270,271,4
1035,3,9,388,383,3
1036,10,6,142,229,10
1037,1,2,229,129,1
1038,8,7,241,242,7
1039,6,5,205,204,5
1040,4,9,357,167,4
1041,1,8,357,55,1
1042,10,7,181,179,7
1043,9,5,401,200,5
1044,3,2,286,253,3
1045,1,4,326,83,1
1046,8,6,279,282,6
1047,3,7,293,291,3
1048,2,10,179,339,2
1049,9,8,171,172,9
1050,7,4,244,247,4
1051,3,6,306,307,3
1052,2,5,244,337,2
1053,1,10,410,250,1
1054,1,9,397,327,1
1055,3,4,215,212,3
1056,1,3,240,241,3
1057,2,9,282,283,9
1058,5,10,286,205,5
1059,7,6,156,158,6
1060,4,8,428,326,4
1061,3,1,199,201,1
1062,9,10,322,223,9
1063,2,6,364,227,2
1064,8,5,344,345,5
1065,7,1,272,273,1
1066,4,3,311,177,4
1067,6,9,245,248,9
1068,5,1,191,192,1
1069,7,2,284,215,7
1070,8,3,209,215,3
1071,10,4,245,207,10
1072,9,7,288,139,9
1073,6,1,256,261,1
1074,3,5,367,305,3
1075,10,8,262,263,8
1076,4,2,399,170,4
1077,9,1,273,274,1
1078,5,7,282,286,7
1079,4,6,382,233,4
1080,3,10,399,90,3
1081,2,8,156,160,8
1082,5,4,270,271,4
1083,3,9,388,383,3
1084,10,6,142,229,10
1085,1,2,229,129,1
1086,8,7,241,242,7
1087,6,5,205,204,5
1088,4,9,357,167,4
1089,1,8,357,55,1
1090,10,7,181,179,7
1091,9,5,401,200,5
1092,3,2,286,253,3
1093,1,4,326,83,1
1094,8,6,279,282,6
1095,3,7,293,291,3
1096,2,10,179,339,2
1097,9,8,171,172,9
1098,7,4,244,247,4
1099,3,6,306,307,3
1100,2,5,244,337,2
1101,1,10,410,250,1
1102,1,9,397,327,1
1103,3,4,215,212,3
1104,1,3,240,241,3
1105,2,9,282,283,9
1106,5,10,286,205,5
1107,7,6,156,158,6
1108,4,8,428,326,4
1109,3,1,199,201,1
1110,9,10,322,223,9
1111,2,6,364,227,2
1112,8,5,344,345,5
1113,7,1,272,273,1
1114,4,3,311,177,4
1115,6,9,245,248,9
1116,5,1,191,192,1
1117,7,2,284,215,7
1118,8,3,209,215,3
1119,10,4,245,207,10
1120,9,7,288,139,9
1121,6,1,256,261,1
1122,3,5,367,305,3
1123,10,8,262,263,8
1124,4,2,399,170,4
1125,9,1,273,274,1
1126,5,7,282,286,7
1127,4,6,382,233,4
1128,3,10,399,90,3
1129,2,8,156,160,8
1130,5,4,270,271,4
1131,3,9,388,383,3
1132,10,6,142,229,10
1133,1,2,229,129,1
1134,8,7,241,242,7
1135,6,5,205,204,5
1136,4,9,357,167,4
1137,1,8,357,55,1
1138,10,7,181,179,7
1139,9,5,401,200,5
1140,3,2,286,253,3
1141,1,4,326,83,1
1142,8,6,279,282,6
